name,site,subtypes,category,type,phone number,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,latitude,longitude,full_address,city,state,area_service,rating,reviews,reviews_link,photos_count,working_hours,verified,location_link,place_id,email_1,email_1.emails_validator.status,facebook,instagram,logo,primary_color,secondary_color,slug
Wells plumbing,,Plumber,Plumber,Plumber,+1 318-542-5841,,mobile,31.3250294,-92.3972176,"2517 Old Marksville Hwy, Pineville, LA 71360",Pineville,Louisiana,False,4.6,9.0,"https://search.google.com/local/reviews?placeid=ChIJr8ZVmZ1LJYYRcmI2hPRDfxs&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",3.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Wells+plumbing/@31.3250294,-92.39721759999999,14z/data=!4m8!1m2!2m1!1sWells+plumbing!3m4!1s0x86254b9d9955c6af:0x1b7f43f484366272!8m2!3d31.3250294!4d-92.39721759999999",ChIJr8ZVmZ1LJYYRcmI2hPRDfxs,,,,,https://lh5.googleusercontent.com/-pO2mO2BLu4w/AAAAAAAAAAI/AAAAAAAAAAA/7Bx8_24mLgU/s256/photo.jpg,#4374e0,#9fc2fe,wellsplumbing
Plumb Pro LLC,,Plumber,Plumber,Plumber,+1 318-715-2358,,mobile,31.3112936,-92.4451371,"Alexandria, LA 71301",Alexandria,Louisiana,False,5.0,1.0,"https://search.google.com/local/reviews?placeid=ChIJi9QoKUFLJYYRn5XauQcIrho&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/Plumb+Pro+LLC/@31.3112936,-92.4451371,14z/data=!4m8!1m2!2m1!1sPlumb+Pro+LLC!3m4!1s0x86254b412928d48b:0x1aae0807b9da959f!8m2!3d31.3112936!4d-92.4451371",ChIJi9QoKUFLJYYRn5XauQcIrho,,,,,,,,plumbprollc
Elite Plumbing & Heating LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-715-3843,AT&T Mobility LLC,mobile,30.9373736,-91.40087,,Weyanoke,LA,True,,,,2.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Elite+Plumbing+%26+Heating+LLC/@30.937373599999997,-91.40087,14z/data=!4m8!1m2!2m1!1sElite+Plumbing+%26+Heating+LLC!3m4!1s0x86254c159134a121:0x9ecba9fbd113892a!8m2!3d30.937373599999997!4d-91.40087",ChIJIaE0kRVMJYYRKokT0fupy54,,,,,https://lh3.googleusercontent.com/-VT3b0LxhZGs/AAAAAAAAAAI/AAAAAAAAAAA/AbIR_8KVk9Y/s256/photo.jpg,#9a8b6d,#f5f5f3,eliteplumbingheatingllc
Professional Plumbing Services of NELA LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-381-2619,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,30.9373736,-91.40087,,Weyanoke,LA,True,5.0,2.0,"https://search.google.com/local/reviews?placeid=ChIJq8PMengxLoYRqs8zwbKLovY&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",3.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-3PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Professional+Plumbing+Services+of+NELA+LLC/@30.937373599999997,-91.40087,14z/data=!4m8!1m2!2m1!1sProfessional+Plumbing+Services+of+NELA+LLC!3m4!1s0x862e31787accc3ab:0xf6a28bb2c133cfaa!8m2!3d30.937373599999997!4d-91.40087",ChIJq8PMengxLoYRqs8zwbKLovY,,,,,https://lh6.googleusercontent.com/-HNwVz_xtiQg/AAAAAAAAAAI/AAAAAAAAAAA/M0B0Rdg7My0/s256/photo.jpg,#4374e0,#9fc2fe,professionalplumbingservicesofnelallc
PCH Plumbing Inc,,Plumber,Plumber,Plumber,+1 318-613-8348,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.319438,-92.4672927,"Alexandria, LA 71315",Alexandria,Louisiana,False,1.0,1.0,"https://search.google.com/local/reviews?placeid=ChIJ6wPIKK60OoYRZn5fBZ0GJRM&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/PCH+Plumbing+Inc/@31.319437999999998,-92.4672927,14z/data=!4m8!1m2!2m1!1sPCH+Plumbing+Inc!3m4!1s0x863ab4ae28c803eb:0x1325069d055f7e66!8m2!3d31.319437999999998!4d-92.4672927",ChIJ6wPIKK60OoYRZn5fBZ0GJRM,,,,,,,,pchplumbinginc
"Plumb Right, LLC",,"Plumber, Service establishment",Plumber,Plumber,+1 318-359-6012,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.1492315,-92.302034,,Whittington,LA,True,5.0,2.0,,,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Plumb+Right%2C+LLC/@31.1492315,-92.30203399999999,14z/data=!4m8!1m2!2m1!1sPlumb+Right%2C+LLC!3m4!1s0x862521bb54690ed3:0x3c7e8c055614f1bd!8m2!3d31.1492315!4d-92.30203399999999",ChIJ0w5pVLshJYYRvfEUVgWMfjw,,,,,https://lh5.googleusercontent.com/-ZoXJamqPxJk/AAAAAAAAAAI/AAAAAAAAAAA/BmS42CD43zk/s256/photo.jpg,#4374e0,#9fc2fe,plumbrightllc
Carr & Osborne Plumbing Contractors,,Plumber,Plumber,Plumber,+1 318-445-2931,"NEW CINGULAR WIRELESS PCS, LLC",mobile,31.3199129,-92.4550555,"503 N 3rd St, Alexandria, LA 71301",Alexandria,Louisiana,False,4.6,29.0,"https://search.google.com/local/reviews?placeid=ChIJlRRN-lFLJYYR7gCVIMYJcF4&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",False,"https://www.google.com/maps/place/Carr+%26+Osborne+Plumbing+Contractors/@31.3199129,-92.4550555,14z/data=!4m8!1m2!2m1!1sCarr+%26+Osborne+Plumbing+Contractors!3m4!1s0x86254b51fa4d1495:0x5e7009c6209500ee!8m2!3d31.3199129!4d-92.4550555",ChIJlRRN-lFLJYYR7gCVIMYJcF4,,,,,,,,carrosborneplumbingcontractors
Big D's Plumbing Of Cenla LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-664-3690,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,31.238953,-92.3029934,,Center Point,LA,True,,,,3.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30PM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Big+D%27s+Plumbing+Of+Cenla+LLC/@31.238953,-92.30299339999999,14z/data=!4m8!1m2!2m1!1sBig+D%27s+Plumbing+Of+Cenla+LLC!3m4!1s0x8ef3ecef48393053:0xd0693905e27e4721!8m2!3d31.238953!4d-92.30299339999999",ChIJUzA5SO_s844RIUd-4gU5adA,,,,,https://lh6.googleusercontent.com/-NXdcd8jhVaU/AAAAAAAAAAI/AAAAAAAAAAA/ZzYr5nnm_n4/s256/photo.jpg,#f9f9f9,#343131,bigdsplumbingofcenlallc
Cormane's Pumping Services,,Plumber,Plumber,Plumber,+1 318-356-5510,,mobile,31.7491472,-93.0482676,"911 LA-494, Natchitoches, LA 71457",Natchitoches,Louisiana,False,3.7,21.0,"https://search.google.com/local/reviews?placeid=ChIJGyYaPj19MIYRr_YnNBvq28Q&q=plumber,+71468,+Provencal,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/Cormane%27s+Pumping+Services/@31.7491472,-93.0482676,14z/data=!4m8!1m2!2m1!1sCormane%27s+Pumping+Services!3m4!1s0x86307d3d3e1a261b:0xc4dbea1b3427f6af!8m2!3d31.7491472!4d-93.0482676",ChIJGyYaPj19MIYRr_YnNBvq28Q,,,,,,,,cormanespumpingservices
Plumb Perfect LLC,,"Plumber, Septic system service",Plumber,Plumber,+1 318-623-8411,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.2522386,-92.2478962,"6200 Old Marksville Hwy, Pineville, LA 71360",Pineville,Louisiana,False,5.0,9.0,"https://search.google.com/local/reviews?placeid=ChIJAZSmlzRHJYYRR1qs5O5xA_A&q=plumber,+71468,+Provencal,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Plumb+Perfect+LLC/@31.2522386,-92.2478962,14z/data=!4m8!1m2!2m1!1sPlumb+Perfect+LLC!3m4!1s0x8625473497a69401:0xf00371eee4ac5a47!8m2!3d31.2522386!4d-92.2478962",ChIJAZSmlzRHJYYRR1qs5O5xA_A,,,,,https://lh4.googleusercontent.com/-10polAsNuDw/AAAAAAAAAAI/AAAAAAAAAAA/PJ30bXnbpE8/s256/photo.jpg,#4374e0,#9fc2fe,plumbperfectllc
Joey Thibodeaux's Drain Cleaning & Plumbing,,Plumber,Plumber,Plumber,+1 225-268-8496,"NEW CINGULAR WIRELESS PCS, LLC",mobile,30.0284384,-91.0477813,"109 Cosa Natural Rd, Belle Rose, LA 70341",Belle Rose,Louisiana,False,5.0,18.0,"https://search.google.com/local/reviews?placeid=ChIJsRHOM2ZPIYYRYg6i7mYLC0A&q=plumber,+71468,+Provencal,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Joey+Thibodeaux%27s+Drain+Cleaning+%26+Plumbing/@30.0284384,-91.0477813,14z/data=!4m8!1m2!2m1!1sJoey+Thibodeaux%27s+Drain+Cleaning+%26+Plumbing!3m4!1s0x86214f6633ce11b1:0x400b0b66eea20e62!8m2!3d30.0284384!4d-91.0477813",ChIJsRHOM2ZPIYYRYg6i7mYLC0A,info@joeydrains.com,UNKNOWN,https://www.facebook.com/joeydrainsLA/,,https://lh3.googleusercontent.com/-AAipjauZUcQ/AAAAAAAAAAI/AAAAAAAAAAA/MZNkh6R7iWo/s256/photo.jpg,#4374e0,#9fc2fe,joeythibodeauxsdraincleaningplumbing
Simple 123 drain cleaning,,"Plumber, Drainage service",Drainage service,Plumber,+1 318-348-6036,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,32.5405617,-92.3600545,"206 John Barnes Rd, Calhoun, LA 71225",Calhoun,Louisiana,False,5.0,2.0,"https://search.google.com/local/reviews?placeid=ChIJx4wlpZMlLoYRMro_S3BTE-U&q=plumber,+71468,+Provencal,+LA,+US&authuser=0&hl=en&gl=US",17.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Simple+123+drain+cleaning/@32.5405617,-92.36005449999999,14z/data=!4m8!1m2!2m1!1sSimple+123+drain+cleaning!3m4!1s0x862e2593a5258cc7:0xe51353704b3fba32!8m2!3d32.5405617!4d-92.36005449999999",ChIJx4wlpZMlLoYRMro_S3BTE-U,,,,,https://lh5.googleusercontent.com/-UEtJ8gv4ryQ/AAAAAAAAAAI/AAAAAAAAAAA/FRLJh-KYMgM/s256/photo.jpg,#d4dfe8,#3e5381,simple123draincleaning
Gray's Construction LLC,,"Contractor, Service establishment",Contractor,Contractor,+1 318-332-2474,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.719158,-93.1091564,,Natchitoches,LA,True,5.0,4.0,,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Gray%27s+Construction+LLC/@31.719158,-93.10915639999999,14z/data=!4m8!1m2!2m1!1sGray%27s+Construction+LLC!3m4!1s0xa81ca6f3ae95392d:0x6b124d576793b11c!8m2!3d31.719158!4d-93.10915639999999",ChIJLTmVrvOmHKgRHLGTZ1dNEms,,,,,https://lh4.googleusercontent.com/-vka12XkzbXU/AAAAAAAAAAI/AAAAAAAAAAA/2afL9lqDpfM/s256/photo.jpg,#4374e0,#9fc2fe,graysconstructionllc
O'bannon Plumbing,,Plumber,Plumber,Plumber,,,,31.7128655,-93.2136028,"157 LA-117, Cypress, LA 71457",Cypress,Louisiana,False,,,,1.0,,False,"https://www.google.com/maps/place/O%27bannon+Plumbing/@31.7128655,-93.21360279999999,14z/data=!4m8!1m2!2m1!1sO%27bannon+Plumbing!3m4!1s0x86308459faffcbd7:0xcf14260c421b8728!8m2!3d31.7128655!4d-93.21360279999999",ChIJ18v_-lmEMIYRKIcbQgwmFM8,,,,,,,,obannonplumbing
Patrick's Plumbing LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-355-2048,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA,mobile,32.632506,-92.2133639,,Rocky Branch,LA,True,4.7,15.0,,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Patrick%27s+Plumbing+LLC/@32.632506,-92.21336389999999,14z/data=!4m8!1m2!2m1!1sPatrick%27s+Plumbing+LLC!3m4!1s0x862e21634f797d7f:0x5fbc2c7a7ba954c2!8m2!3d32.632506!4d-92.21336389999999",ChIJf315T2MhLoYRwlSpe3osvF8,,,,,https://lh6.googleusercontent.com/-RivYnxZuBV0/AAAAAAAAAAI/AAAAAAAAAAA/tSeiSmE7OBk/s256/photo.jpg,#4374e0,#9fc2fe,patricksplumbingllc
Scuba Plumbing,,Plumber,Plumber,Plumber,+1 318-396-7963,,mobile,32.5312001,-92.0959429,"Monroe, LA 71201",Monroe,Louisiana,False,4.5,2.0,"https://search.google.com/local/reviews?placeid=ChIJVVVVVSVGLoYRH_hM-MjhVWE&q=plumber,+71473,+Sikes,+LA,+US&authuser=0&hl=en&gl=US",,"{""Sunday"": ""Closed"", ""Monday"": ""7:30AM-5AM"", ""Tuesday"": ""7:30AM-5AM"", ""Wednesday"": ""7:30AM-5AM"", ""Thursday"": ""7:30AM-5AM"", ""Friday"": ""7:30AM-5AM"", ""Saturday"": ""7:30AM-5AM""}",False,"https://www.google.com/maps/place/Scuba+Plumbing/@32.5312001,-92.0959429,14z/data=!4m8!1m2!2m1!1sScuba+Plumbing!3m4!1s0x862e462555555555:0x6155e1c8f84cf81f!8m2!3d32.5312001!4d-92.0959429",ChIJVVVVVSVGLoYRH_hM-MjhVWE,,,,,,,,scubaplumbing
"Cormier's Plumbing, LLC",,"Plumber, Service establishment",Plumber,Plumber,+1 337-348-2469,T-Mobile USA Inc.,mobile,30.2131925,-93.2559745,,Lake Charles,LA,True,3.9,7.0,"https://search.google.com/local/reviews?placeid=ChIJMQtVLe-RO4YRMfIniraCyJA&q=plumber,+71474,+Simpson,+LA,+US&authuser=0&hl=en&gl=US",1.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Cormier%27s+Plumbing%2C+LLC/@30.213192499999998,-93.2559745,14z/data=!4m8!1m2!2m1!1sCormier%27s+Plumbing%2C+LLC!3m4!1s0x863b91ef2d550b31:0x90c882b68a27f231!8m2!3d30.213192499999998!4d-93.2559745",ChIJMQtVLe-RO4YRMfIniraCyJA,,,,,https://lh5.googleusercontent.com/-WZzsHpX37b4/AAAAAAAAAAI/AAAAAAAAAAA/iwsT0P79jd0/s256/photo.jpg,#e7ede5,#628c84,cormiersplumbingllc
