name,site,subtypes,category,type,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,latitude,longitude,full_address,city,state,area_service,rating,reviews,reviews_link,photos_count,working_hours,verified,location_link,place_id,email_1,email_1.emails_validator.status,facebook,instagram,logo,primary_color,secondary_color,slug
Aca Plumbing & Heating Repair Services,,Plumber,Plumber,Plumber,+1 318-443-8297,,landline,31.33543,-92.29834,"46 Gunter Rd, Pineville, LA 71360",Pineville,Louisiana,False,3.7,3.0,"https://search.google.com/local/reviews?placeid=ChIJHfQkbP5FJYYRCihyGiFAgAs&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",,,False,"https://www.google.com/maps/place/Aca+Plumbing+%26+Heating+Repair+Services/@31.33543,-92.29834,14z/data=!4m8!1m2!2m1!1sAca+Plumbing+%26+Heating+Repair+Services!3m4!1s0x862545fe6c24f41d:0xb8040211a72280a!8m2!3d31.33543!4d-92.29834",ChIJHfQkbP5FJYYRCihyGiFAgAs,,,,,,,,acaplumbingheatingrepairservices
Rainwater Plumbing Repair LLC,https://rainwaterplumbingrepair.com/,"Plumber, Service establishment",Plumber,Plumber,+1 318-308-7942,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.340579,-92.470388,,Pineville,LA,True,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJcTbwSSI47EYRHGF4q_fcN0M&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",2.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM""}",True,"https://www.google.com/maps/place/Rainwater+Plumbing+Repair+LLC/@31.340578999999998,-92.470388,14z/data=!4m8!1m2!2m1!1sRainwater+Plumbing+Repair+LLC!3m4!1s0x46ec382249f03671:0x4337dcf7ab78611c!8m2!3d31.340578999999998!4d-92.470388",ChIJcTbwSSI47EYRHGF4q_fcN0M,,,,,https://lh6.googleusercontent.com/-Auqxa3l-r54/AAAAAAAAAAI/AAAAAAAAAAA/IPbsqtGLZkk/s256/photo.jpg,#4374e0,#9fc2fe,rainwaterplumbingrepairllc
Folden Plumbing,,Plumber,Plumber,Plumber,,,,31.9047733,-92.6573466,"265 Par Rd 786, Winnfield, LA 71483",Winnfield,Louisiana,False,,,,1.0,,False,"https://www.google.com/maps/place/Folden+Plumbing/@31.9047733,-92.6573466,14z/data=!4m8!1m2!2m1!1sFolden+Plumbing!3m4!1s0x8630171d9bb84121:0x7dbad8a69a926c78!8m2!3d31.9047733!4d-92.6573466",ChIJIUG4mx0XMIYReGySmqbYun0,,,,,,,,foldenplumbing
C&V Outdoors,,"Hardware store, Animal feed store, Fishing store, Hunting store, Outdoor sports store",Hardware store,Hardware store,,,,31.8979288,-92.2322609,"3683 Main St #165, Olla, LA 71465",Olla,Louisiana,False,4.7,39.0,"https://search.google.com/local/reviews?placeid=ChIJse-GskjpL4YRTtXwtViGoOI&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",18.0,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-3PM""}",True,"https://www.google.com/maps/place/C%26V+Outdoors/@31.8979288,-92.2322609,14z/data=!4m8!1m2!2m1!1sC%26V+Outdoors!3m4!1s0x862fe948b286efb1:0xe2a08658b5f0d54e!8m2!3d31.8979288!4d-92.2322609",ChIJse-GskjpL4YRTtXwtViGoOI,,,,,https://lh5.googleusercontent.com/-xFB4kYn29a0/AAAAAAAAAAI/AAAAAAAAAAA/qL-6z0W_Pno/s256/photo.jpg,#2a2a2a,#f9f9f9,cvoutdoors
Southern Air & Plumbing,https://www.southernairnow.com/locations/pineville/?utm_source=google-gbp,"Plumber, Air conditioning contractor, Electrician, Electric generator shop, HVAC contractor",HVAC contractor,Plumber,+1 318-217-2405,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,31.3425785,-92.4314489,"1974 Monroe Hwy, Pineville, LA 71360",Pineville,Louisiana,False,4.9,3821.0,"https://search.google.com/local/reviews?placeid=ChIJzcuiRIVNJYYRLojc-1YUKGE&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",92.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Southern+Air+%26+Plumbing/@31.3425785,-92.43144889999999,14z/data=!4m8!1m2!2m1!1sSouthern+Air+%26+Plumbing!3m4!1s0x86254d8544a2cbcd:0x61281456fbdc882e!8m2!3d31.3425785!4d-92.43144889999999",ChIJzcuiRIVNJYYRLojc-1YUKGE,pruett@southernairheatingandcooling.com,INVALID,https://www.facebook.com/SouthernAirHeatingCoolingandPlumbing/,,https://lh5.googleusercontent.com/-K-d5qAm-XLY/AAAAAAAAAAI/AAAAAAAAAAA/fR7RwNdgsQY/s256/photo.jpg,#ecf3f8,#457d5c,southernairplumbing
Big D's Plumbing,,Plumber,Plumber,Plumber,,,,31.4340721,-92.4569121,"230 Hamilton Dr, Pineville, LA 71360",Pineville,Louisiana,False,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJpQzbjq1SJYYRO4IRXRlfuGA&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",1.0,,False,"https://www.google.com/maps/place/Big+D%27s+Plumbing/@31.434072099999998,-92.4569121,14z/data=!4m8!1m2!2m1!1sBig+D%27s+Plumbing!3m4!1s0x862552ad8edb0ca5:0x60b85f195d11823b!8m2!3d31.434072099999998!4d-92.4569121",ChIJpQzbjq1SJYYRO4IRXRlfuGA,,,,,,,,bigdsplumbing
Bushnell Plumbing,,Plumber,Plumber,Plumber,,,,30.7646832,-93.1586427,"2919 State Rte 394, DeRidder, LA 70634",DeRidder,Louisiana,False,5.0,3.0,"https://search.google.com/local/reviews?placeid=ChIJA9Mb71-pO4YRNFLnZYzyDkg&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",,,False,"https://www.google.com/maps/place/Bushnell+Plumbing/@30.7646832,-93.1586427,14z/data=!4m8!1m2!2m1!1sBushnell+Plumbing!3m4!1s0x863ba95fef1bd303:0x480ef28c65e75234!8m2!3d30.7646832!4d-93.1586427",ChIJA9Mb71-pO4YRNFLnZYzyDkg,,,,,,,,bushnellplumbing
Coleman Plumbing LLC,http://www.colemanplumbing.com/,"Plumber, Service establishment",Plumber,Plumber,,,,31.429159,-92.7625655,,Sharp,LA,True,,,,5.0,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Coleman+Plumbing+LLC/@31.429159,-92.7625655,14z/data=!4m8!1m2!2m1!1sColeman+Plumbing+LLC!3m4!1s0xa52b9fd8295e470d:0xb5356e2ea09ce0f6!8m2!3d31.429159!4d-92.7625655",ChIJDUdeKdifK6UR9uCcoC5uNbU,privacy@giantpanda.com,RECEIVING,https://www.facebook.com/about/,,https://lh4.googleusercontent.com/-6VxX2hAvGfA/AAAAAAAAAAI/AAAAAAAAAAA/ZNMMKxZxepE/s256/photo.jpg,#fefbfb,#ee1414,colemanplumbingllc
Cenla Backflow Prevention Co.,,"Plumber, Service establishment",Plumber,Plumber,+1 318-715-9889,AT&T Mobility LLC,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,5.0,7.0,"https://search.google.com/local/reviews?placeid=ChIJGYhOTVJPJYYRD4xV-BxuhZ0&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",38.0,"{""Sunday"": ""Closed"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""9AM-5PM""}",True,"https://www.google.com/maps/place/Cenla+Backflow+Prevention+Co./@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sCenla+Backflow+Prevention+Co.!3m4!1s0x86254f524d4e8819:0x9d856e1cf8558c0f!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJGYhOTVJPJYYRD4xV-BxuhZ0,,,,,https://lh4.googleusercontent.com/-qeGKln-ZSU8/AAAAAAAAAAI/AAAAAAAAAAA/qJ8aCbfkNYo/s256/photo.jpg,#acbbbd,#4d4635,cenlabackflowpreventionco
Miller Bubba Plumbing Co,,Plumber,Plumber,Plumber,+1 318-249-3585,,landline,32.370539,-92.330456,"1709 Okaloosa Rd, Eros, LA 71238",Eros,Louisiana,False,,,,,,False,"https://www.google.com/maps/place/Miller+Bubba+Plumbing+Co/@32.370539,-92.330456,14z/data=!4m8!1m2!2m1!1sMiller+Bubba+Plumbing+Co!3m4!1s0x862e2d0fbb8efb37:0xcc8305d0c5db600b!8m2!3d32.370539!4d-92.330456",ChIJN_uOuw8tLoYRC2DbxdAFg8w,,,,,,,,millerbubbaplumbingco
All Plumbing,https://www.allplumbing247.com/?utm_source=google,"Plumber, Bathroom remodeler, Drainage service",Plumber,Plumber,+1 318-503-8127,T-Mobile USA Inc.,mobile,32.5279528,-92.0815773,"605 Sterlington Rd, Monroe, LA 71203",Monroe,Louisiana,False,4.9,865.0,"https://search.google.com/local/reviews?placeid=ChIJ_ajr1xtGLoYRdnAFw5Tq_v8&q=plumber,+71465,+Olla,+LA,+US&authuser=0&hl=en&gl=US",127.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/All+Plumbing/@32.5279528,-92.08157729999999,14z/data=!4m8!1m2!2m1!1sAll+Plumbing!3m4!1s0x862e461bd7eba8fd:0xfffeea94c3057076!8m2!3d32.5279528!4d-92.08157729999999",ChIJ_ajr1xtGLoYRdnAFw5Tq_v8,jason@allservice247.com,RECEIVING,https://www.facebook.com/allplumbing247/,,https://lh4.googleusercontent.com/-csJOK4lAImU/AAAAAAAAAAI/AAAAAAAAAAA/3XCzSR3vOGY/s256/photo.jpg,#b15055,#abd2e5,allplumbing
Action Rooter LLC,https://www.actionrooterla.com/,"Septic system service, Service establishment",Septic system service,Septic system service,+1 318-729-1136,MTPCS LLC (Cellular One),mobile,31.1757915,-92.6277244,,Castor Plunge,LA,True,5.0,25.0,,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Action+Rooter+LLC/@31.1757915,-92.62772439999999,14z/data=!4m8!1m2!2m1!1sAction+Rooter+LLC!3m4!1s0x231bba09ce98cd3:0xc2f5caaf33a17648!8m2!3d31.1757915!4d-92.62772439999999",ChIJ04zpnKC7MQIRSHahM6_K9cI,actionrooterla@gmail.com,RECEIVING,,,https://lh4.googleusercontent.com/-qHRupYCslw4/AAAAAAAAAAI/AAAAAAAAAAA/uOUA-FYCHRo/s256/photo.jpg,#f9fafa,#9b212c,actionrooterllc
Clint Crook's Plumbing LLC,,"Plumber, Service establishment",Plumber,Plumber,+1 318-715-4956,,mobile,31.2752845,-92.6302385,,Alexandria,LA,True,,,,,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",True,"https://www.google.com/maps/place/Clint+Crook%27s+Plumbing+LLC/@31.275284499999998,-92.63023849999999,14z/data=!4m8!1m2!2m1!1sClint+Crook%27s+Plumbing+LLC!3m4!1s0x87d13a4523cf776f:0xa7f03a8129bc3ac1!8m2!3d31.275284499999998!4d-92.63023849999999",ChIJb3fPI0U60YcRwTq8KYE68Kc,,,,,https://lh4.googleusercontent.com/-OyM-83fFCis/AAAAAAAAAAI/AAAAAAAAAAA/YnBLlargtuw/s256/photo.jpg,#4374e0,#9fc2fe,clintcrooksplumbingllc
Tommys Plumbing & Heating LLC,https://www.tommysplumbingllc.com/,"Plumber, Drainage service, HVAC contractor",Plumber,Plumber,+1 201-262-0093,CELLCO PARTNERSHIP DBA VERIZON,mobile,40.953599,-74.0776714,"69 W Midland Ave, Paramus, NJ 07652",Paramus,New Jersey,False,3.9,22.0,"https://search.google.com/local/reviews?placeid=ChIJ469Dn_j7wokR-COQNx6skZ8&q=plumber,+71466,+Otis,+LA,+US&authuser=0&hl=en&gl=US",26.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Tommys+Plumbing+%26+Heating+LLC/@40.953599,-74.0776714,14z/data=!4m8!1m2!2m1!1sTommys+Plumbing+%26+Heating+LLC!3m4!1s0x89c2fbf89f43afe3:0x9f91ac1e379023f8!8m2!3d40.953599!4d-74.0776714",ChIJ469Dn_j7wokR-COQNx6skZ8,info@tommysplumbingllc.com,INVALID,http://www.facebook.com/pages/,,https://lh6.googleusercontent.com/-vRfLUwfQxK0/AAAAAAAAAAI/AAAAAAAAAAA/Js-LrSD8f4Q/s256/photo.jpg,#9e9797,#2b2c2a,tommysplumbingheatingllc
"Parsons Plumbing, Heating, and Cooling, LLC",https://www.southernairnow.com/?utm_source=google-gbp,"Plumber, Air conditioning contractor, Air conditioning repair service, Bathroom remodeler, Drainage service, Service establishment, Furnace repair service, Heating contractor, HVAC contractor, Septic system service",Plumber,Plumber,+1 318-217-1610,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,32.9137475,-105.3191695,,Flying H,NM,True,4.8,103.0,"https://search.google.com/local/reviews?placeid=ChIJMQLX2ExMJYYRj9WYYCD131M&q=plumber,+71467,+Pollock,+LA,+US&authuser=0&hl=en&gl=US",9.0,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",True,"https://www.google.com/maps/place/Parsons+Plumbing%2C+Heating%2C+and+Cooling%2C+LLC/@32.9137475,-105.3191695,14z/data=!4m8!1m2!2m1!1sParsons+Plumbing%2C+Heating%2C+and+Cooling%2C+LLC!3m4!1s0x86254c4cd8d70231:0x53dff5206098d58f!8m2!3d32.9137475!4d-105.3191695",ChIJMQLX2ExMJYYRj9WYYCD131M,service@southernairnow.com,RECEIVING,https://www.facebook.com/SouthernAirHeatingCoolingandPlumbing/,,https://lh3.googleusercontent.com/-Z-MRFoTwzMU/AAAAAAAAAAI/AAAAAAAAAAA/yXbAe9Gwvt0/s256/photo.jpg,#78393c,#fcfbfa,parsonsplumbingheatingandcoolingllc
